ISIN,NAME,Country,Region
TH0765010Z08,AIRPORTS OF THAILAND,TH,EM
TH0796010005,THAI OIL,TH,EM
TH1074010006,PTT GLOBAL CHEMICAL,TH,EM
THA790010005,SCB X PUBLIC COMPANY LIMITED,TH,EM
TRAAEFES91A9,ANADOLU EFES BIRACILIK LTD.,TR,EM
TRAAKBNK91N6,AKBANK,TR,EM
TRAARCLK91H5,ARCELIK,TR,EM
TRADOHOL91Q8,DOGAN SRKGRBU.HLDG.,TR,EM
TRAEREGL91G3,EREGLI DEMIR CELIK,TR,EM
TRAGARAN91N1,TKI.GARANTI BKSI.,TR,EM
TRAISCTR91N2,TURKIYE IS BANKASI 'C',TR,EM
TRAKCHOL91Q8,KOC HOLDING,TR,EM
TRAOTOSN91H6,FORD OTOMOTIV SANAYI,TR,EM
TRASAHOL91Q5,HACI OMER SABANCI HLDG.,TR,EM
TRASISEW91Q3,TKI.SISE VE CAM FKI.,TR,EM
TRATCELL91M1,TURKCELL ILETISIM HZM.,TR,EM
TRATHYAO91M5,TURK HAVA YOLLARI,TR,EM
TRATUPRS91E8,TUPRAS TKI.PEL.RFNE.,TR,EM
TRAYAZIC91Q6,ANADOLU GRUBU HOLDING A,TR,EM
TRAYKBNK91N6,YAPI VE KREDI BANKASI,TR,EM
TREBIMM00018,BIM BIRLESIK MAGAZALAR,TR,EM
TRECOLA00011,COCA COLA ICECEK,TR,EM
TREENKA00011,ENKA INSAAT VE SANAYI A,TR,EM
TRETAVH00018,TAV HAVALIMANLARI,TR,EM
TRETHAL00019,TURKIYE HALK BANKASI,TR,EM
TRETKHO00012,TEKFEN HOLDING,TR,EM
TREULKR00015,ULKER BISKUVI SANAYI,TR,EM
TREVKFB00019,TKI.VAKIFLAR BANKASI,TR,EM
TW0001102002,ASIA CEMENT,TW,EM
TW0001216000,UNI-PRESIDENT ENTS.,TW,EM
TW0001301000,FORMOSA PLASTICS,TW,EM
TW0001303006,NAN YA PLASTICS,TW,EM
TW0001326007,FORMOSA CHEMS.& FIBRE,TW,EM
TW0001402006,FAR EASTERN NEW CENTURY,TW,EM
TW0001409001,SHINKONG SYNTHETIC FIBER,TW,EM
TW0001434009,FORMOSA TAFFETA,TW,EM
TW0001503001,SHIHLIN ELEC.& ENGR.,TW,EM
TW0001504009,TECO ELEC.& MACHINERY,TW,EM
TW0001605004,WALSIN LIHWA,TW,EM
TW0001717007,ETERNAL MATERIALS,TW,EM
TW0001722007,TAIWAN FERTILIZER,TW,EM
TW0001723005,CHINA STEEL CHEMICAL,TW,EM
TW0001785004,SOLAR APPD.MATS.TECH.,TW,EM
TW0001802007,TAIWAN GLASS IND.,TW,EM
TW0001907004,YUEN FOONG YU PAPR.MNFG.,TW,EM
TW0002002003,CHINA STEEL,TW,EM
TW0002006004,TUNG HO STL.ENTER.,TW,EM
TW0002014008,CHUNG HUNG STEEL,TW,EM
TW0002015005,FENG HSIN STEEL,TW,EM
TW0002023009,YIEH PHUI ENTERPRISE,TW,EM
TW0002101003,NANKANG RUBBER TIRE,TW,EM
TW0002103009,TSRC,TW,EM
TW0002105004,CHENG SHIN RUB.INDS.,TW,EM
TW0002201001,YULON MOTOR,TW,EM
TW0002204005,CHINA MOTOR,TW,EM
TW0002207008,HOTAI MOTOR,TW,EM
TW0002301009,LITE-ON TECHNOLOGY,TW,EM
TW0002303005,UNITED MICRO ELTN.,TW,EM
TW0002308004,DELTA ELECTRONICS,TW,EM
TW0002317005,HON HAI PRECN.IND.,TW,EM
TW0002323003,CMC MAGNETICS,TW,EM
TW0002324001,COMPAL ELECTRONICS,TW,EM
TW0002327004,YAGEO,TW,EM
TW0002328002,PAN-INTL.INDL.,TW,EM
TW0002330008,TAIWAN SEMICON.MNFG.,TW,EM
TW0002332004,D-LINK,TW,EM
TW0002337003,MACRONIX INTL.,TW,EM
TW0002344009,WINBOND ELTN.,TW,EM
TW0002347002,SYNNEX TECH.INTL.,TW,EM
TW0002349008,RITEK,TW,EM
TW0002352002,QISDA,TW,EM
TW0002353000,ACER,TW,EM
TW0002354008,FOXCONN TECHNOLOGY,TW,EM
TW0002356003,INVENTEC,TW,EM
TW0002357001,ASUSTEK COMPUTER,TW,EM
TW0002362001,CLEVO,TW,EM
TW0002371002,TATUNG,TW,EM
TW0002377009,MICRO-STAR INTERNATIONAL,TW,EM
TW0002379005,REALTEK SEMICON.,TW,EM
TW0002382009,QUANTA COMPUTER,TW,EM
TW0002385002,CHICONY ELECTRONICS,TW,EM
TW0002388006,VIA TECHNOLOGIES,TW,EM
TW0002392008,CHENG UEI PRECISION IND.,TW,EM
TW0002393006,EVERLIGHT ELECTRONICS,TW,EM
TW0002395001,ADVANTECH,TW,EM
TW0002408002,NANYA TECHNOLOGY,TW,EM
TW0002409000,AUO,TW,EM
TW0002412004,CHUNGHWA TELECOM,TW,EM
TW0002451002,TRANSCEND INFO.,TW,EM
TW0002454006,MEDIATEK,TW,EM
TW0002474004,CATCHER TECHNOLOGY,TW,EM
TW0002498003,HTC,TW,EM
TW0002501004,CATHAY RLST.DEV.,TW,EM
TW0002603008,EVERGREEN MARINE,TW,EM
TW0002605003,SINCERE NAVIGATION,TW,EM
TW0002606001,U-MING MARINE TRAN.,TW,EM
TW0002607009,EVRG.INTL.STRG.& TRAN.,TW,EM
TW0002609005,YANG MING MAR.TRAN.,TW,EM
TW0002610003,CHINA AIRLINES,TW,EM
TW0002615002,WAN HAI LINES,TW,EM
TW0002617008,TAIWAN NAVIGATION,TW,EM
TW0002618006,EVA AIRWAYS,TW,EM
TW0002707007,FORMOSA INTL.HOTELS,TW,EM
TW0002801008,CHANG HWA COML.BANK,TW,EM
TW0002834009,TAIWAN BUSINESS BANK,TW,EM
TW0002880002,HUA NAN FINANCIAL HDG.,TW,EM
TW0002881000,FUBON FINL.HLDG.,TW,EM
TW0002882008,CATHAY FINL.HLDG.,TW,EM
TW0002883006,KGI FINANCIAL HOLDING,TW,EM
TW0002884004,E SUN FINL.HLDG.,TW,EM
TW0002885001,YUANTA FINANCIAL HDG.,TW,EM
TW0002886009,MEGA FINANCIAL HOLDING,TW,EM
TW0002887007,TS FINANCIAL HOLDING,TW,EM
TW0002888005,SHIN KONG FINL.HLDG. DEAD - DELIST.24/07/25,TW,EM
TW0002890001,SINOPAC FINL.HDG.,TW,EM
TW0002891009,CTBC FINL.HLDG.,TW,EM
TW0002892007,FIRST FINANCIAL HOLDING,TW,EM
TW0002903002,FAR EASTERN DEPT.STRS.,TW,EM
TW0002912003,PRESIDENT CHAIN STORE,TW,EM
TW0003008009,LARGAN PRECISION,TW,EM
TW0003034005,NOVATEK MICROELS.,TW,EM
TW0003035002,FARADAY TECHNOLOGY,TW,EM
TW0003037008,UNIMICRON TECHNOLOGY,TW,EM
TW0003044004,TRIPOD TECHNOLOGY,TW,EM
TW0003045001,TAIWAN MOBILE,TW,EM
TW0003189007,KINSUS INTCONN.TECH.,TW,EM
TW0003227005,PIXART IMAGING,TW,EM
TW0003231007,WISTRON,TW,EM
TW0003376000,SHIN ZU SHING,TW,EM
TW0003443008,GUC,TW,EM
TW0003481008,INNOLUX,TW,EM
TW0003702007,WPG HOLDINGS,TW,EM
TW0003711008,ASE TECHNOLOGY HOLDING,TW,EM
TW0004904008,FAR EASTONE TELECOM.,TW,EM
TW0005203004,CYBERLINK,TW,EM
TW0005347009,VANGD.INTL.SEMICON.,TW,EM
TW0005371009,CORETRONIC,TW,EM
TW0005483002,SINO-AMER.SILICON PRDS.,TW,EM
TW0005522007,FARGLORY LAND DEV.,TW,EM
TW0006116007,HANNSTAR DISPLAY,TW,EM
TW0006121007,SIMPLO TECHNOLOGY,TW,EM
TW0006176001,RADIANT OPTO-ELECTRONICS,TW,EM
TW0006239007,POWERTECH TECHNOLOGY,TW,EM
TW0006244007,MOTECH INDUSTRIES,TW,EM
TW0006505001,FORMOSA PETROCHEMICAL,TW,EM
TW0008046004,NAN YA PRINTED CUB.,TW,EM
TW0008069006,E INK HOLDINGS,TW,EM
TW0008299009,PHISON ELECTRONICS,TW,EM
TW0009904003,POU CHEN,TW,EM
TW0009907006,TON YI INDUSTRIAL,TW,EM
TW0009917005,TAIWAN SECOM,TW,EM
TW0009921007,GIANT MNFG.,TW,EM
US0567521085,BAIDU ADS 1:8,CN,EM
US1912411089,COCA COLA FEMSA ADR 1:10,MX,EM
US2044481040,CIA.MINAS BUENAVENTURA ADR 1:1,PE,EM
US26152H3012,DRDGOLD ADR 1:10,ZA,EM
US64110W1027,NETEASE ADR 1:5,CN,EM
US67011E2046,NOVOLIPETSK STEEL GDR DEAD - DELIST.27/01/23,RU,EM
US8336351056,SOCIEDAD QUIMICA Y MINERA DE CHILE ADR 1:1,CL,EM
US83410S1087,SOHU COM ADR 1:1,CN,EM
ZAE000000220,AECI,ZA,EM
ZAE000004875,NEDBANK GROUP,ZA,EM
ZAE000005443,PICK N PAY STORES,ZA,EM
ZAE000006284,SAPPI,ZA,EM
ZAE000006896,SASOL,ZA,EM
ZAE000011953,NETCARE,ZA,EM
ZAE000012084,SHOPRITE,ZA,EM
ZAE000013181,VALTERRA PLATINUM,ZA,EM
ZAE000015228,HARMONY GOLD MNG.,ZA,EM
ZAE000018123,GOLD FIELDS,ZA,EM
ZAE000022331,DISCOVERY,ZA,EM
ZAE000026480,REMGRO,ZA,EM
ZAE000026639,BARLOWORLD DEAD - DELIST.27/01/26,ZA,EM
ZAE000028296,TRUWORTHS INTL.,ZA,EM
ZAE000042164,MTN GROUP,ZA,EM
ZAE000044897,TELKOM SA SOC,ZA,EM
ZAE000054045,AFRICAN RAINBOW MINERALS,ZA,EM
ZAE000057428,REUNERT,ZA,EM
ZAE000058517,SPAR GROUP,ZA,EM
ZAE000063863,WOOLWORTHS HDG.,ZA,EM
ZAE000066304,FIRSTRAND,ZA,EM
ZAE000066692,ASPEN PHMCR.HDG.,ZA,EM
ZAE000067211,IMPERIAL LOGISTICS DEAD - DELIST.15/03/22,ZA,EM
ZAE000070660,SANLAM,ZA,EM
ZAE000071080,TIGER BRANDS,ZA,EM
ZAE000072328,GRINDROD,ZA,EM
ZAE000073441,MURRAY & ROBERTS DEAD - DELIST.19/01/26,ZA,EM
ZAE000083648,IMPALA PLATINUM,ZA,EM
ZAE000084992,EXXARO RESOURCES,ZA,EM
ZAE000093779,SANTAM,ZA,EM
ZAE000097580,SUN INTERNATIONAL,ZA,EM
ZAE000109815,STANDARD BANK GROUP,ZA,EM
ZAE000117321,BIDVEST GROUP,ZA,EM
ZAE000127148,LIBERTY HOLDINGS DEAD - DELIST.01/03/22,ZA,EM
ZAE000134961,ARCELORMITTAL SA.,ZA,EM
ZAE000170049,PPC,ZA,EM
ZAE000179420,GROWTHPOINT PROP,ZA,EM
ZAE000191342,ALTRON LIMITED A,ZA,EM
ZAE000255915,ABSA GROUP,ZA,EM
ZAE000298253,NORTHAM PLATINUM HLDGS,ZA,EM
ZAE000302618,AVENG,ZA,EM
ZAE000322095,NAMPAK,ZA,EM
